Amanita	SH448338.07FU	SH133642.07FU	SH074238.07FU	SH032129.07FU	37.09024|-95.712891
Amanita	SH448339.07FU	SH133642.07FU	SH074238.07FU	SH032129.07FU	37.09024|-95.712891
Amanita	SH432932.07FU	SH127834.07FU	SH070082.07FU	SH028764.07FU	37.09024|-95.712891
Amanita	SH432933.07FU	SH127834.07FU	SH070082.07FU	SH028764.07FU	37.09024|-95.712891
Amanita	SH432934.07FU	SH127835.07FU	SH070082.07FU	SH028764.07FU	37.09024|-95.712891
Amanita	SH432935.07FU	SH127834.07FU	SH070082.07FU	SH028764.07FU	37.09024|-95.712891
Amanita	SH320409.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	-25.274398|133.775136
Amanita	SH320410.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	-25.274398|133.775136
Amanita	SH320424.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	-25.274398|133.775136
Amanita	SH320426.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	-25.274398|133.775136
Amanita	SH320518.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	-25.274398|133.775136
Amanita	SH320573.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	-25.274398|133.775136
Amanita	SH320402.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	-25.274398|133.775136, 55.378051|-3.435973, 61.52401|105.318756, 58.595272|25.013607, 40.463667|-3.74922, 46.227638|2.213749, 37.09024|-95.712891, 46.818188|8.227512, 51.919438|19.145136, 58.595272|25.013607, 51.165691|10.451526
Amanita	SH320554.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	-40.900557|174.885971
Amanita	SH320562.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	-40.900557|174.885971
Amanita	SH320439.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	-6.369028|34.888822
Amanita	SH320555.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	23.634501|-102.552784
Amanita	SH320566.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	23.634501|-102.552784
Amanita	SH320416.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	23.634501|-102.552784, 37.09024|-95.712891
Amanita	SH320527.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	36.204824|138.252924
Amanita	SH320544.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	36.204824|138.252924
Amanita	SH320549.07FU	SH082341.07FU	SH038048.07FU	SH003263.07FU	36.204824|138.252924
Amanita	SH320550.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	36.204824|138.252924
Amanita	SH320551.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	36.204824|138.252924
Amanita	SH320552.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	36.204824|138.252924
Amanita	SH320553.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	36.204824|138.252924
Amanita	SH320572.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	36.204824|138.252924
Amanita	SH320413.07FU	SH082308.07FU	SH038022.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320417.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320423.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320425.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320430.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320436.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320465.07FU	SH082318.07FU	SH038028.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320482.07FU	SH082318.07FU	SH038028.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320546.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320548.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320557.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320559.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320567.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320568.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320569.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320570.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320571.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320574.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320575.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320576.07FU	SH082308.07FU	SH038022.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320581.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320596.07FU	SH082311.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320592.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891
Amanita	SH320435.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891, 36.204824|138.252924
Amanita	SH320437.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891, 36.204824|138.252924
Amanita	SH320420.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	37.09024|-95.712891, 36.204824|138.252924, 37.09024|-95.712891
Amanita	SH320561.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	4.570868|-74.297333
